"",5,10,15,20,25,30
"gpos",0.1570838, 0.2764449, 0.38083318, 0.47176728, 0.5469714, 0.6116252
"gquat",0.024214763, 0.04002131, 0.05485279, 0.067867875, 0.07837547, 0.0865311
"npss",2.3648999066574907e-05, 0.00011159843108984677, 0.00029210837980477185, 0.0005744727234613681, 0.0009577109687401763, 0.0014318149090271858
"l2p",0.02072276090187984, 0.03428857107437296, 0.046463069588970715, 0.05744310102593089, 0.06662509491937847, 0.07436759444678712
"smooth",0.02415629002993933, 0.02335635307978091, 0.022901573258687365, 0.022399615971927425, 0.021761045701983853, 0.020977185292259684
