,file,realNumber,add_len,total_len,sparse_trans,dense_trans,gpos,gquat,init_n,pred_n
42,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002727727.json,tensor([67]),tensor([0]),67,61,0,0.75344545,0.106496945,33,63
43,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002727839.json,tensor([50]),tensor([0]),50,55,0,0.71533245,0.17475694,37,57
44,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002727851.json,tensor([58]),tensor([0]),58,67,0,1.2034286,0.16862004,48,69
45,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002727884.json,tensor([43]),tensor([0]),43,36,0,0.9046726,0.15511124,32,38
46,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002727952.json,tensor([59]),tensor([0]),59,43,0,0.7721273,0.17717709,24,45
47,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002728177.json,tensor([25]),tensor([0]),25,24,0,0.48433456,0.09804606,13,26
48,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002728199.json,tensor([17]),tensor([0]),17,21,0,0.5400382,0.0730839,15,23
49,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002728201.json,tensor([22]),tensor([0]),22,16,0,0.59569776,0.06625554,14,18
50,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002728458.json,tensor([40]),tensor([0]),40,41,0,0.581942,0.1138869,32,43
51,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002728683.json,tensor([42]),tensor([0]),42,39,0,0.83189434,0.15914948,21,41
52,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002728694.json,tensor([80]),tensor([0]),80,84,0,0.94132817,0.14266287,56,86
53,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002729055.json,tensor([60]),tensor([0]),60,52,0,0.5963155,0.09559965,41,54
54,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002729099.json,tensor([58]),tensor([0]),58,52,0,0.70969516,0.0994685,38,54
55,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002729279.json,tensor([25]),tensor([0]),25,22,0,0.2735682,0.05702638,9,24
56,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002729527.json,tensor([58]),tensor([0]),58,58,0,0.7684937,0.14555512,41,60
57,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002729707.json,tensor([44]),tensor([0]),44,61,0,0.8293966,0.14108758,47,63
58,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002729730.json,tensor([20]),tensor([0]),20,18,0,0.40164262,0.053509522,8,20
59,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002729921.json,tensor([36]),tensor([0]),36,30,0,0.97813463,0.15331791,22,32
60,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002730024.json,tensor([30]),tensor([0]),30,44,0,0.609851,0.23686735,19,46
61,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002730035.json,tensor([44]),tensor([0]),44,33,0,0.86013013,0.19536607,17,35
62,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002730709.json,tensor([37]),tensor([0]),37,28,0,1.1095033,0.14719361,28,30
63,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002730765.json,tensor([68]),tensor([0]),68,61,0,1.2118617,0.1327843,42,63
64,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002730956.json,tensor([49]),tensor([0]),49,54,0,0.5852052,0.11314526,28,56
65,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002731160.json,tensor([53]),tensor([0]),53,66,0,0.8738739,0.08372379,46,68
66,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002731171.json,tensor([75]),tensor([0]),75,75,0,0.9786711,0.111502804,58,77
67,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002731250.json,tensor([35]),tensor([0]),35,41,0,0.6430171,0.1300577,22,43
68,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002731508.json,tensor([54]),tensor([0]),54,43,0,0.6164133,0.18746929,23,45
69,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002731711.json,tensor([42]),tensor([0]),42,34,0,0.8227809,0.15265141,19,36
70,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002731889.json,tensor([40]),tensor([0]),40,47,0,1.1763922,0.13323085,40,49
71,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002731902.json,tensor([64]),tensor([0]),64,73,0,0.9887985,0.14419663,54,75
72,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002732284.json,tensor([73]),tensor([0]),73,82,0,1.1430572,0.19282964,54,84
73,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002732307.json,tensor([48]),tensor([0]),48,74,0,2.556927,0.29884505,49,76
74,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002732385.json,tensor([50]),tensor([0]),50,58,0,0.9172578,0.09471383,38,60
75,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002732868.json,tensor([55]),tensor([0]),55,76,0,1.8101419,0.2984048,48,78
76,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002732903.json,tensor([47]),tensor([0]),47,53,0,0.9473262,0.18159658,29,55
77,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733083.json,tensor([58]),tensor([0]),58,71,0,0.8580363,0.1573221,53,73
78,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733252.json,tensor([21]),tensor([0]),21,27,0,0.4364384,0.10907645,20,29
79,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733386.json,tensor([69]),tensor([0]),69,85,0,1.6768833,0.22263236,58,87
80,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733555.json,tensor([25]),tensor([0]),25,30,0,0.49822566,0.09721737,23,32
81,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733577.json,tensor([61]),tensor([0]),61,70,0,1.9198761,0.22935666,47,72
82,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733656.json,tensor([25]),tensor([0]),25,34,0,0.6221202,0.12972319,24,36
83,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733702.json,tensor([40]),tensor([0]),40,53,0,0.9998685,0.16048333,29,55
84,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733757.json,tensor([67]),tensor([0]),67,51,0,0.8101984,0.08423786,31,53
85,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733780.json,tensor([75]),tensor([0]),75,83,0,1.0820336,0.19497816,61,85
86,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733881.json,tensor([52]),tensor([0]),52,60,0,1.3042548,0.2117832,32,62
87,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733926.json,tensor([24]),tensor([0]),24,13,0,0.6952066,0.07409664,13,15
88,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002733982.json,tensor([50]),tensor([0]),50,58,0,0.7649001,0.15155615,35,60
89,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002734006.json,tensor([57]),tensor([0]),57,65,0,1.2164795,0.1350333,47,67
90,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002734477.json,tensor([85]),tensor([0]),85,63,0,1.04034,0.13215613,48,65
91,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002735388.json,tensor([40]),tensor([0]),40,56,0,1.1163213,0.16513145,31,58
92,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002735647.json,tensor([42]),tensor([0]),42,49,0,0.80999506,0.18723087,28,51
93,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002735951.json,tensor([62]),tensor([0]),62,84,0,1.4727069,0.15398397,62,86
94,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002736019.json,tensor([25]),tensor([0]),25,22,0,0.49250716,0.086881064,14,24
95,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002736121.json,tensor([62]),tensor([0]),62,72,0,1.209104,0.1241127,53,74
96,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002736233.json,tensor([73]),tensor([0]),73,66,0,0.99785846,0.13238561,49,68
